Time,Symbol,Open,High,Low,Close,Volume,Supertrend,Polaridad,DEMA800,Half-Order,Profit,Stoploss-Reached,Exit-Price,ATR,ADX,P&L
2022-02-06 18:00:00-05:00,XRPUSDT,0.6715,0.6852,0.6707,0.6795,5864703.0,0.6623522117832732,Buy,0.6082158,True,True,False,0.8335,0.004526079620590146,13.495126274800922,1.2887000000000002
2022-02-08 17:30:00-05:00,XRPUSDT,0.8301,0.863,0.8258,0.8616,13080693.0,0.7881966841286907,Buy,0.6808003,False,True,False,0.8927,0.01780954528203826,23.330403607855864,0.43540000000000023
2022-02-10 06:00:00-05:00,XRPUSDT,0.8893,0.893,0.8865,0.8927,3720333.0,0.867815272307518,Buy,0.7424349,False,False,True,0.867815272307518,0.008645535100453069,11.567048189618236,-0.569800000000001
2022-02-12 10:30:00-05:00,XRPUSDT,0.773,0.8089,0.7697,0.8026,26154946.0,0.7496181718614651,Buy,0.7754566,False,True,False,0.8074,0.010977340884096092,27.325948313456497,0.06720000000000037
2022-02-14 09:00:00-05:00,XRPUSDT,0.8001,0.8097,0.7996,0.8062,7945669.0,0.7791259856018724,Buy,0.7977417,True,True,False,0.8126,0.008352924939577662,17.805719005178236,0.19529999999999947
2022-02-16 08:30:00-05:00,XRPUSDT,0.8264,0.8298,0.8045,0.8126,22624643.0,0.839974357164754,Sell,0.8168514,False,False,True,0.839974357164754,0.006728328904631873,17.63408728155728,-0.4186000000000005
2022-02-16 14:00:00-05:00,XRPUSDT,0.8241,0.8343,0.8191,0.8338,11686903.0,0.8057943328564153,Buy,0.8183173,False,False,True,0.8057943328564153,0.006547054151550003,26.762234582501268,-0.29400000000000026
2022-02-16 22:30:00-05:00,XRPUSDT,0.8314,0.8314,0.8214,0.8219,7400690.0,0.8483606255525656,Sell,0.8220721,True,True,False,0.7992,0.007103021972411072,18.590639452107098,0.31919999999999904
2022-02-18 06:30:00-05:00,XRPUSDT,0.7794,0.7813,0.7714,0.7766,10002013.0,0.8004457002909763,Sell,0.8215837,False,False,True,0.8004457002909763,0.007950255950627967,25.129573419850416,-0.30380000000000074
2022-02-19 05:00:00-05:00,XRPUSDT,0.7826,0.785,0.7761,0.7778,6073359.0,0.7999288864562513,Sell,0.818347,False,False,True,0.7999288864562513,0.006703487336956777,21.770259188717517,-0.5753999999999988
2022-02-19 08:00:00-05:00,XRPUSDT,0.7766,0.8225,0.7721,0.8189,46616508.0,0.758096328685302,Buy,0.8179792,False,False,True,0.758096328685302,0.00996313302830475,25.845055637220025,-0.7769999999999999
2022-02-19 21:30:00-05:00,XRPUSDT,0.8013,0.8013,0.7846,0.7929,10882030.0,0.8216929833491006,Sell,0.8205645,True,False,False,0.7929,0.00975897795285466,24.537302355100906,0.17500000000000016
2022-02-21 05:00:00-05:00,XRPUSDT,0.785,0.7879,0.777,0.7801,9526502.0,0.8030676819135036,Sell,0.817244,True,True,False,0.7157,0.007031607248315687,14.234954462269393,0.6502999999999999
2022-02-23 12:30:00-05:00,XRPUSDT,0.7305,0.7307,0.715,0.7168,8484876.0,0.7475547317708251,Sell,0.781386,True,True,False,0.672,0.007502340688815897,26.92403013355739,0.5977999999999994
2022-02-26 19:30:00-05:00,XRPUSDT,0.7465,0.7465,0.7243,0.732,24281486.0,0.7646588129450762,Sell,0.747278,False,False,True,0.7646588129450762,0.009095885528355337,17.653345677910544,-0.43260000000000054
2022-02-27 06:30:00-05:00,XRPUSDT,0.7552,0.7564,0.7535,0.756,3823151.0,0.7366746662749799,Buy,0.746421,False,False,True,0.7366746662749799,0.006679772569325075,18.381200000329873,-0.12739999999999996
2022-02-27 13:30:00-05:00,XRPUSDT,0.7425,0.7443,0.7388,0.7399,2348032.0,0.7641418914055911,Sell,0.7464573,True,False,False,0.7399,0.007838580082891284,16.92755258508687,0.18409999999999993
2022-02-28 09:30:00-05:00,XRPUSDT,0.7351,0.7496,0.735,0.7481,17371754.0,0.71524323806884,Buy,0.7418319,True,True,False,0.7648,0.008114102259400824,22.625001890169834,0.32760000000000045
2022-03-05 23:00:00-05:00,XRPUSDT,0.7427,0.7437,0.7317,0.7378,14152253.0,0.7567733901918063,Sell,0.7486013,True,False,False,0.7378,0.006202877964611529,23.38689473725823,0.1630999999999999
2022-03-07 01:00:00-05:00,XRPUSDT,0.728,0.7544,0.7276,0.7481,21544934.0,0.7134650575335698,Buy,0.7449977,False,False,True,0.7134650575335698,0.007811497526142368,30.556121555199255,-0.5165999999999991
2022-03-07 13:00:00-05:00,XRPUSDT,0.7361,0.7361,0.724,0.7252,9233145.0,0.7514139131130876,Sell,0.7444637,False,False,True,0.7514139131130876,0.0071044728704165745,13.531076232310465,-0.34160000000000124
2022-03-11 00:30:00-05:00,XRPUSDT,0.7406,0.748,0.7405,0.7468,6054661.0,0.7282029118350737,Buy,0.7396055,False,False,True,0.7282029118350737,0.005392256926634435,16.50135067514828,-0.21419999999999972
2022-03-11 10:00:00-05:00,XRPUSDT,0.736,0.736,0.7274,0.7315,7901014.0,0.7509918486965637,Sell,0.7396088,False,False,True,0.7509918486965637,0.006023421517823187,14.420044166617474,-0.3808
2022-03-11 15:00:00-05:00,XRPUSDT,0.7367,0.7598,0.7367,0.7587,21593693.0,0.7253249929210545,Buy,0.7391826,True,True,False,0.7818,0.006541964291882396,26.431514060918246,0.42839999999999945
2022-03-14 17:00:00-05:00,XRPUSDT,0.7656,0.773,0.7644,0.7711,9653220.0,0.750418387461073,Buy,0.7623738,False,False,True,0.750418387461073,0.005942820543355424,17.545309121576626,-0.26320000000000054
2022-03-15 02:00:00-05:00,XRPUSDT,0.759,0.7593,0.7465,0.7523,15624733.0,0.7707514175139447,Sell,0.7629033,False,False,True,0.7707514175139447,0.005678060176365205,19.42279166633679,-0.24079999999999988
2022-03-15 10:00:00-05:00,XRPUSDT,0.7615,0.7642,0.7609,0.7642,3181823.0,0.7482578216663931,Buy,0.7625784,True,False,False,0.7642,0.0049314702412581995,29.952641515475324,0.08609999999999984
2022-03-18 11:00:00-05:00,XRPUSDT,0.7866,0.7913,0.7861,0.7911,4054197.0,0.7758031674558407,Buy,0.7753165,True,True,False,0.8079,0.004193551031582873,19.038033033123668,0.31709999999999927
2022-03-21 04:30:00-05:00,XRPUSDT,0.8086,0.8139,0.8086,0.8136,2662736.0,0.7976428883787109,Buy,0.7947324,True,False,False,0.8136,0.004617333017669119,26.222292179030276,0.12460000000000025
2022-03-23 09:30:00-05:00,XRPUSDT,0.8321,0.8367,0.8299,0.8364,4229117.0,0.8183514885641155,Buy,0.8156462,False,True,False,0.8401,0.004942766337465116,21.099941511316764,0.05179999999999896
2022-03-26 19:30:00-05:00,XRPUSDT,0.8333,0.8419,0.8323,0.8401,5144187.0,0.827127550976377,Buy,0.8339341,False,True,False,0.8458,0.0029690011251688802,15.779283113661192,0.07980000000000054
2022-03-27 07:30:00-05:00,XRPUSDT,0.834,0.8355,0.8279,0.8299,3316641.0,0.8419292527026044,Sell,0.8359063,False,False,True,0.8419292527026044,0.0031114657925613966,27.843203742780087,-0.22260000000000033
2022-03-27 11:00:00-05:00,XRPUSDT,0.8374,0.848,0.8354,0.8458,9005337.0,0.8274053750872066,Buy,0.8364328,True,True,False,0.8645,0.003933444463429139,23.876730676423698,0.2478000000000007
2022-04-02 10:00:00-05:00,XRPUSDT,0.8399,0.8399,0.8267,0.8328,10185631.0,0.8518585948601519,Sell,0.8568743,True,False,False,0.8328,0.005362887319975938,26.65843837391346,0.10919999999999963
2022-04-03 19:30:00-05:00,XRPUSDT,0.8356,0.8368,0.831,0.8321,3397004.0,0.8505611731303018,Sell,0.8539694,True,False,False,0.8321,0.0049812908871281715,32.26736740820191,0.14489999999999958
2022-04-05 19:00:00-05:00,XRPUSDT,0.8169,0.818,0.7772,0.7962,35329517.0,0.8265825616667735,Sell,0.8473014,True,True,False,0.7874,0.007246684920064017,16.52906719691965,0.25340000000000007
2022-04-08 02:00:00-05:00,XRPUSDT,0.7863,0.7866,0.7792,0.7792,2279364.0,0.7944714802433435,Sell,0.8227892,True,True,False,0.7659,0.0039643942260685775,13.220332878226476,0.2134999999999998
2022-04-10 17:00:00-05:00,XRPUSDT,0.7609,0.7619,0.757,0.7583,5369358.0,0.7716925802428896,Sell,0.7938844,True,True,False,0.7177,0.003562298784776738,21.90631526674057,0.3345999999999997
2022-04-12 13:00:00-05:00,XRPUSDT,0.7058,0.7059,0.697,0.6987,2879356.0,0.7188759792367563,Sell,0.762133,False,False,True,0.7188759792367563,0.0057189338376851,20.96148530040032,-0.2869999999999995
2022-04-13 06:30:00-05:00,XRPUSDT,0.7103,0.7106,0.7037,0.7048,2561516.0,0.7215407124482159,Sell,0.7518164,False,False,True,0.7215407124482159,0.004943486589489,17.59503177040424,-0.22540000000000002
2022-04-14 04:00:00-05:00,XRPUSDT,0.7331,0.7331,0.7235,0.7253,4472722.0,0.7421174810298122,Sell,0.7438762,True,False,False,0.7253,0.004279580125317796,30.46406523284813,0.11129999999999939
2022-04-17 03:30:00-05:00,XRPUSDT,0.7807,0.7855,0.7794,0.7852,3689914.0,0.7713858267051267,Buy,0.7491288,False,False,True,0.7713858267051267,0.0036383418341820618,17.29299737657682,-0.19460000000000033
2022-04-18 12:00:00-05:00,XRPUSDT,0.7446,0.756,0.7446,0.7499,12759726.0,0.7297565501149481,Buy,0.7478648,True,True,False,0.7639,0.006324559947772992,21.896342590561936,0.25549999999999984
2022-04-21 07:00:00-05:00,XRPUSDT,0.7557,0.7583,0.7546,0.7572,4465794.0,0.7433680545574126,Buy,0.7499393,False,False,True,0.7433680545574126,0.004215121756561952,21.787261281293723,-0.3220000000000003
2022-04-21 15:00:00-05:00,XRPUSDT,0.7487,0.7495,0.7447,0.7474,2965968.0,0.7634972633076906,Sell,0.7497479,True,False,False,0.7474,0.0052402108833649996,17.871820429043854,0.09239999999999993
2022-04-26 01:30:00-05:00,XRPUSDT,0.6863,0.6878,0.682,0.6835,4108278.0,0.6997892536832585,Sell,0.7087006,True,True,False,0.6618,0.005109268123308518,32.45155496076073,0.2806999999999994
2022-04-27 06:00:00-05:00,XRPUSDT,0.6499,0.6501,0.6396,0.6429,7536211.0,0.6627545109879501,Sell,0.6917061,True,True,False,0.6264,0.005954474968430039,36.06851069351729,0.2954000000000009
2022-04-30 09:30:00-05:00,XRPUSDT,0.6164,0.6173,0.6092,0.61,7334184.0,0.6273979607678686,Sell,0.6482122,True,True,False,0.6038,0.004369971950137526,15.021326593609857,0.23940000000000006
2022-05-01 14:00:00-05:00,XRPUSDT,0.5996,0.6005,0.5935,0.5936,5808664.0,0.6140706487914138,Sell,0.6289233,False,False,True,0.6140706487914138,0.005402392509886141,27.42928344279547,-0.26600000000000024
2022-05-02 06:00:00-05:00,XRPUSDT,0.6146,0.6161,0.6099,0.6102,7771205.0,0.6292206809945318,Sell,0.6226571,False,True,False,0.6032,0.005398685844032831,30.034124058118742,0.09800000000000009
